strike_price,call_mark,call_oi,call_volume,call_gamma,call_delta,call_vega,put_mark,put_oi,put_volume,put_gamma,put_delta,put_vega,timestamp_IST,Expiry,max_pain
0.51542708,15651.0,115.17899999999996,1.51e-06,0.00090234,0.07041283,85600.0,0.0,-1.0,0.0,0.1909999999999999,9.0,6629.5,01-02-2026,10:04,653267
0.56679929,15450.0,52.551,1.54e-06,0.0009558,0.07423656,85800.0,0.0,-1.0,0.0,0.214,0.0,6829.5,01-02-2026,10:04,699166
0.61769001,88070.0,224.0970000000001,1.56e-06,0.00100594,0.07780473,86000.0,0.0,-1.0,0.0,0.091,38.0,7029.6,01-02-2026,10:04,745381
0.61936644,8388.0,38.241,1.49e-06,0.00098298,0.07617166,86200.0,0.0,-1.0,0.0,0.015,0.0,7229.5,01-02-2026,10:04,793335
0.36149042,21598.0,68.674,9.7e-07,0.00060422,0.04865536,86400.0,0.0,-1.0,0.0,0.204,0.0,7429.6,01-02-2026,10:04,841480
0.3610538,11470.0,40.682,9.3e-07,0.00059215,0.04775711,86600.0,0.0,-1.0,0.0,,0.0,7629.5,01-02-2026,10:04,890056
0.37641556,26412.0,42.098,9.2e-07,0.00060028,0.04836329,86800.0,0.0,-1.0,0.0,,0.0,7829.6,01-02-2026,10:04,938861
0.76867129,123222.0,299.33300000000014,1.47e-06,0.00109354,0.08399773,87000.0,0.0,-1.0,0.0,0.249,2.0,8029.5,01-02-2026,10:04,988195
0.36061315,46376.0,113.82,8.2e-07,0.00055581,0.04504196,87200.0,0.0,-1.0,0.0,0.4499999999999999,14.0,8229.6,01-02-2026,10:04,1040001
0.35929801,9678.0,20.096,7.9e-07,0.0005452,0.0442469,87400.0,8e-07,-0.99944487,0.04499218,,0.0,8429.95042763,01-02-2026,10:04,1092717
0.56410001,12975.0,30.675,1.05e-06,0.00079045,0.06233632,87600.0,1.07e-06,-0.99919403,0.06346218,0.1659999999999999,0.0,8630.05060831,01-02-2026,10:04,1145636
0.56414565,3615.0,9.277,1.01e-06,0.00077597,0.061285,87800.0,1.03e-06,-0.99920855,0.06240862,,0.0,8830.05088899,01-02-2026,10:04,1198815
0.35879262,147286.0,255.7020000000002,7.1e-07,0.00051549,0.04201044,88000.0,0.0,-1.0,0.0,2.434,144.0,9029.5,01-02-2026,10:04,1252066
0.25632887,37049.0,77.13500000000002,5.3e-07,0.00037773,0.03148978,88200.0,5.4e-07,-0.99961626,0.03195364,0.104,0.0,9229.75002125,01-02-2026,10:04,1308141
0.56298719,12800.0,28.155999999999995,9.1e-07,0.00073614,0.05838029,88400.0,9.3e-07,-0.99924807,0.05953307,0.014,0.0,9430.05382643,01-02-2026,10:04,1365082
0.30731857,20290.0,33.25099999999999,5.7e-07,0.00042767,0.03533458,88600.0,5.8e-07,-0.99956396,0.03597641,,0.0,9629.89957057,01-02-2026,10:04,1422280
0.5532993,8918.0,3.398999999999996,8.5e-07,0.00071174,0.05659529,88800.0,8.6e-07,-0.99928377,0.05692431,0.02,0.0,9830.04600362,01-02-2026,10:04,1479882
0.40870826,10786.0,28.17,6.6e-07,0.00053172,0.04323406,89000.0,6.7e-07,-0.99945902,0.04392892,0.002,0.0,10029.89972048,01-02-2026,10:04,1537663
0.36991101,11784.0,3.943,6e-07,0.00048959,0.04005372,89200.0,6e-07,-0.99951076,0.04002634,,0.0,10229.97000551,01-02-2026,10:04,1595660
0.29797017,1675.0,4.952999999999999,4.8e-07,0.00039144,0.03254835,89600.0,4.8e-07,-0.999608,0.03259258,0.002,0.0,10629.79732969,01-02-2026,10:04,1712125
0.15368623,155833.0,165.74300000000002,2.7e-07,0.0002085,0.01810487,90000.0,0.0,-1.0,0.0,1.417,32.0,11029.5,01-02-2026,10:04,1828656
0.25694321,170142.0,229.20800000000008,3.8e-07,0.0003251,0.02738972,90400.0,,,,,,,01-02-2026,10:04,1951388
3777.2258359,6.0,0.559,1.87e-05,0.98747182,0.74472726,75200.0,1.341e-05,-0.00785403,0.49546875,478.9809999999998,266157.0,4.10485677,01-02-2026,10:05,198711
3376.1113114,257.0,0.393,2.307e-05,0.98560512,0.83964448,75600.0,1.857e-05,-0.01053641,0.64080595,484.8920000000005,223625.0,5.62186578,01-02-2026,10:05,155175
2978.72017854,60.0,2.3959999999999995,1.457e-05,0.99368923,0.4084764,76000.0,2.034e-05,-0.00998552,0.61151033,278.0250000000002,143391.0,4.34437633,01-02-2026,10:05,120662
2779.12424666,0.0,0.1,2.701e-05,0.98648515,0.79519917,76200.0,1.864e-05,-0.00799513,0.50326261,17.035999999999998,5950.0,3.31594568,01-02-2026,10:05,106250
2580.48427371,60.0,7.7189999999999985,3.284e-05,0.98388878,0.92498307,76400.0,2.417e-05,-0.01032687,0.62967152,311.26899999999983,15518.0,4.47928819,01-02-2026,10:05,91999
2383.3646824,60.0,1.1380000000000003,4.204e-05,0.97929713,1.14523443,76600.0,3.407e-05,-0.0150776,0.87384987,72.02799999999999,28794.0,5.83323826,01-02-2026,10:05,78070
2183.09019096,110.0,3.1609999999999987,5.263e-05,0.97433682,1.37231271,76800.0,4.513e-05,-0.02010695,1.11725581,268.92800000000005,41990.0,7.80413955,01-02-2026,10:05,64708
1987.32083181,740.0,12.592999999999996,6.727e-05,0.96717169,1.68392903,77000.0,6.044e-05,-0.02741005,1.44993448,237.27700000000013,147788.0,10.80178904,01-02-2026,10:05,52181
1791.00311464,81.0,19.463,8.901e-05,0.95522431,2.16864083,77200.0,8.039e-05,-0.03709934,1.86173468,151.142,36280.0,14.97491032,01-02-2026,10:05,42620
1596.54373852,205.0,21.78,0.00011246,0.94391988,2.59476353,77400.0,0.00010717,-0.05100179,2.4070532,66.73800000000003,14230.0,21.15952316,01-02-2026,10:05,33760
